,excluded_column,imbalanced_approach,imbalanced_input,scaler,learning_rate_init,alpha,batch_size,hidden_layer_sizes,activation,solver,prediction_threshold,duration,f1_score
48,none,resampling,SMOTETomek,power,0.001,0.01,256,"(16, 8)",relu,adam,0.89,5.0,65.0
49,none,resampling,SMOTETomek,power,0.001,0.01,256,"(16, 8)",relu,sgd,0.8400000000000001,6.0,53.0
50,none,resampling,SMOTETomek,power,0.001,0.01,256,"(16, 8)",relu,lbfgs,0.86,8.0,60.0
51,none,resampling,SMOTETomek,power,0.001,0.01,256,"(16, 8)",tanh,adam,0.89,3.0,66.0
52,none,resampling,SMOTETomek,power,0.001,0.01,256,"(16, 8)",tanh,sgd,0.88,6.0,54.0
53,none,resampling,SMOTETomek,power,0.001,0.01,256,"(16, 8)",tanh,lbfgs,0.89,15.0,59.0
54,none,resampling,SMOTETomek,power,0.01,0.01,16,"(16, 8)",relu,adam,0.88,10.0,69.0
55,none,resampling,SMOTETomek,power,0.01,0.01,16,"(16, 8)",relu,sgd,0.86,41.0,63.0
56,none,resampling,SMOTETomek,power,0.01,0.01,16,"(16, 8)",relu,lbfgs,0.86,7.0,60.0
57,none,resampling,SMOTETomek,power,0.01,0.01,16,"(16, 8)",tanh,adam,0.88,7.0,59.0
58,none,resampling,SMOTETomek,power,0.01,0.01,16,"(16, 8)",tanh,sgd,0.87,34.0,69.0
59,none,resampling,SMOTETomek,power,0.01,0.01,16,"(16, 8)",tanh,lbfgs,0.89,14.0,59.0
60,none,resampling,SMOTETomek,power,0.01,0.01,64,"(16, 8)",relu,adam,0.89,5.0,58.0
61,none,resampling,SMOTETomek,power,0.01,0.01,64,"(16, 8)",relu,sgd,0.89,11.0,65.0
62,none,resampling,SMOTETomek,power,0.01,0.01,64,"(16, 8)",relu,lbfgs,0.86,7.0,60.0
63,none,resampling,SMOTETomek,power,0.01,0.01,64,"(16, 8)",tanh,adam,0.89,5.0,67.0
64,none,resampling,SMOTETomek,power,0.01,0.01,64,"(16, 8)",tanh,sgd,0.89,9.0,64.0
65,none,resampling,SMOTETomek,power,0.01,0.01,64,"(16, 8)",tanh,lbfgs,0.89,14.0,59.0
66,none,resampling,SMOTETomek,power,0.01,0.01,256,"(16, 8)",relu,adam,0.89,2.0,62.0
67,none,resampling,SMOTETomek,power,0.01,0.01,256,"(16, 8)",relu,sgd,0.87,4.0,63.0
68,none,resampling,SMOTETomek,power,0.01,0.01,256,"(16, 8)",relu,lbfgs,0.86,7.0,60.0
69,none,resampling,SMOTETomek,power,0.01,0.01,256,"(16, 8)",tanh,adam,0.88,5.0,63.0
70,none,resampling,SMOTETomek,power,0.01,0.01,256,"(16, 8)",tanh,sgd,0.89,5.0,60.0
71,none,resampling,SMOTETomek,power,0.01,0.01,256,"(16, 8)",tanh,lbfgs,0.89,14.0,59.0
72,none,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.8200000000000001,30.0,64.0
73,none,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,sgd,0.72,91.0,71.0
74,none,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,lbfgs,0.2,140.0,58.0
75,none,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",tanh,adam,0.81,25.0,65.0
76,none,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",tanh,sgd,0.73,95.0,60.0
77,none,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",tanh,lbfgs,0.08,76.0,58.0
78,none,resampling,SMOTETomek,power,0.001,0.001,64,"(128, 64, 32)",relu,adam,0.86,12.0,62.0
79,none,resampling,SMOTETomek,power,0.001,0.001,64,"(128, 64, 32)",relu,sgd,0.76,46.0,67.0
80,none,resampling,SMOTETomek,power,0.001,0.001,64,"(128, 64, 32)",relu,lbfgs,0.2,133.0,58.0
81,none,resampling,SMOTETomek,power,0.001,0.001,64,"(128, 64, 32)",tanh,adam,0.81,19.0,61.0
82,none,resampling,SMOTETomek,power,0.001,0.001,64,"(128, 64, 32)",tanh,sgd,0.86,62.0,62.0
83,none,resampling,SMOTETomek,power,0.001,0.001,64,"(128, 64, 32)",tanh,lbfgs,0.08,62.0,58.0
84,none,resampling,SMOTETomek,power,0.001,0.001,256,"(128, 64, 32)",relu,adam,0.88,8.0,66.0
85,none,resampling,SMOTETomek,power,0.001,0.001,256,"(128, 64, 32)",relu,sgd,0.86,32.0,68.0
86,none,resampling,SMOTETomek,power,0.001,0.001,256,"(128, 64, 32)",relu,lbfgs,0.2,146.0,58.0
87,none,resampling,SMOTETomek,power,0.001,0.001,256,"(128, 64, 32)",tanh,adam,0.8200000000000001,18.0,61.0
88,none,resampling,SMOTETomek,power,0.001,0.001,256,"(128, 64, 32)",tanh,sgd,0.88,38.0,66.0
89,none,resampling,SMOTETomek,power,0.001,0.001,256,"(128, 64, 32)",tanh,lbfgs,0.08,57.0,58.0
90,none,resampling,SMOTETomek,power,0.01,0.001,16,"(128, 64, 32)",relu,adam,0.89,24.0,70.0
91,none,resampling,SMOTETomek,power,0.01,0.001,16,"(128, 64, 32)",relu,sgd,0.89,67.0,69.0
92,none,resampling,SMOTETomek,power,0.01,0.001,16,"(128, 64, 32)",relu,lbfgs,0.2,149.0,58.0
93,none,resampling,SMOTETomek,power,0.01,0.001,16,"(128, 64, 32)",tanh,adam,0.87,15.0,60.0
94,none,resampling,SMOTETomek,power,0.01,0.001,16,"(128, 64, 32)",tanh,sgd,0.89,84.0,60.0
95,none,resampling,SMOTETomek,power,0.01,0.001,16,"(128, 64, 32)",tanh,lbfgs,0.08,62.0,58.0
96,none,resampling,SMOTETomek,power,0.01,0.001,64,"(128, 64, 32)",relu,adam,0.89,20.0,61.0
97,none,resampling,SMOTETomek,power,0.01,0.001,64,"(128, 64, 32)",relu,sgd,0.87,34.0,69.0
98,none,resampling,SMOTETomek,power,0.01,0.001,64,"(128, 64, 32)",relu,lbfgs,0.2,145.0,58.0
99,none,resampling,SMOTETomek,power,0.01,0.001,64,"(128, 64, 32)",tanh,adam,0.89,9.0,59.0
100,none,resampling,SMOTETomek,power,0.01,0.001,64,"(128, 64, 32)",tanh,sgd,0.87,41.0,61.0
101,none,resampling,SMOTETomek,power,0.01,0.001,64,"(128, 64, 32)",tanh,lbfgs,0.08,74.0,58.0
102,none,resampling,SMOTETomek,power,0.01,0.001,256,"(128, 64, 32)",relu,adam,0.89,6.0,66.0
103,none,resampling,SMOTETomek,power,0.01,0.001,256,"(128, 64, 32)",relu,sgd,0.89,18.0,68.0
104,none,resampling,SMOTETomek,power,0.01,0.001,256,"(128, 64, 32)",relu,lbfgs,0.2,142.0,58.0
105,none,resampling,SMOTETomek,power,0.01,0.001,256,"(128, 64, 32)",tanh,adam,0.89,6.0,65.0
106,none,resampling,SMOTETomek,power,0.01,0.001,256,"(128, 64, 32)",tanh,sgd,0.63,48.0,59.0
107,none,resampling,SMOTETomek,power,0.01,0.001,256,"(128, 64, 32)",tanh,lbfgs,0.08,74.0,58.0
108,none,resampling,SMOTETomek,power,0.001,0.01,16,"(128, 64, 32)",relu,adam,0.89,23.0,67.0
109,none,resampling,SMOTETomek,power,0.001,0.01,16,"(128, 64, 32)",relu,sgd,0.87,70.0,69.0
110,none,resampling,SMOTETomek,power,0.001,0.01,16,"(128, 64, 32)",relu,lbfgs,0.74,150.0,57.0
111,none,resampling,SMOTETomek,power,0.001,0.01,16,"(128, 64, 32)",tanh,adam,0.89,26.0,66.0
112,none,resampling,SMOTETomek,power,0.001,0.01,16,"(128, 64, 32)",tanh,sgd,0.78,80.0,64.0
113,none,resampling,SMOTETomek,power,0.001,0.01,16,"(128, 64, 32)",tanh,lbfgs,0.8400000000000001,68.0,60.0
114,none,resampling,SMOTETomek,power,0.001,0.01,64,"(128, 64, 32)",relu,adam,0.88,12.0,66.0
115,none,resampling,SMOTETomek,power,0.001,0.01,64,"(128, 64, 32)",relu,sgd,0.85,40.0,67.0
116,none,resampling,SMOTETomek,power,0.001,0.01,64,"(128, 64, 32)",relu,lbfgs,0.74,142.0,57.0
