,excluded_column,imbalanced_approach,imbalanced_input,scaler,learning_rate_init,alpha,batch_size,hidden_layer_sizes,activation,solver,prediction_threshold,duration,f1_score
231,none,resampling,ADASYN,power,0.001,0.001,256,"(16, 8)",tanh,adam,0.89,4.0,61.0
232,none,resampling,ADASYN,power,0.001,0.001,256,"(16, 8)",tanh,sgd,0.89,7.0,54.0
233,none,resampling,ADASYN,power,0.001,0.001,256,"(16, 8)",tanh,lbfgs,0.79,13.0,56.0
234,none,resampling,ADASYN,power,0.01,0.001,16,"(16, 8)",relu,adam,0.88,16.0,64.0
235,none,resampling,ADASYN,power,0.01,0.001,16,"(16, 8)",relu,sgd,0.88,41.0,61.0
236,none,resampling,ADASYN,power,0.01,0.001,16,"(16, 8)",relu,lbfgs,0.8300000000000001,6.0,53.0
237,none,resampling,ADASYN,power,0.01,0.001,16,"(16, 8)",tanh,adam,0.89,8.0,62.0
238,none,resampling,ADASYN,power,0.01,0.001,16,"(16, 8)",tanh,sgd,0.87,35.0,58.0
239,none,resampling,ADASYN,power,0.01,0.001,16,"(16, 8)",tanh,lbfgs,0.79,13.0,56.0
240,none,resampling,ADASYN,power,0.01,0.001,64,"(16, 8)",relu,adam,0.89,5.0,62.0
241,none,resampling,ADASYN,power,0.01,0.001,64,"(16, 8)",relu,sgd,0.8200000000000001,11.0,60.0
242,none,resampling,ADASYN,power,0.01,0.001,64,"(16, 8)",relu,lbfgs,0.8300000000000001,6.0,53.0
243,none,resampling,ADASYN,power,0.01,0.001,64,"(16, 8)",tanh,adam,0.89,5.0,58.0
244,none,resampling,ADASYN,power,0.01,0.001,64,"(16, 8)",tanh,sgd,0.89,11.0,59.0
245,none,resampling,ADASYN,power,0.01,0.001,64,"(16, 8)",tanh,lbfgs,0.79,13.0,56.0
246,none,resampling,ADASYN,power,0.01,0.001,256,"(16, 8)",relu,adam,0.87,3.0,58.0
247,none,resampling,ADASYN,power,0.01,0.001,256,"(16, 8)",relu,sgd,0.89,5.0,57.0
248,none,resampling,ADASYN,power,0.01,0.001,256,"(16, 8)",relu,lbfgs,0.8300000000000001,6.0,53.0
249,none,resampling,ADASYN,power,0.01,0.001,256,"(16, 8)",tanh,adam,0.89,2.0,60.0
250,none,resampling,ADASYN,power,0.01,0.001,256,"(16, 8)",tanh,sgd,0.89,5.0,56.0
251,none,resampling,ADASYN,power,0.01,0.001,256,"(16, 8)",tanh,lbfgs,0.79,13.0,56.0
252,none,resampling,ADASYN,power,0.001,0.01,16,"(16, 8)",relu,adam,0.88,21.0,63.0
253,none,resampling,ADASYN,power,0.001,0.01,16,"(16, 8)",relu,sgd,0.88,44.0,65.0
254,none,resampling,ADASYN,power,0.001,0.01,16,"(16, 8)",relu,lbfgs,0.79,6.0,61.0
255,none,resampling,ADASYN,power,0.001,0.01,16,"(16, 8)",tanh,adam,0.8200000000000001,33.0,60.0
256,none,resampling,ADASYN,power,0.001,0.01,16,"(16, 8)",tanh,sgd,0.89,36.0,57.0
257,none,resampling,ADASYN,power,0.001,0.01,16,"(16, 8)",tanh,lbfgs,0.89,13.0,60.0
258,none,resampling,ADASYN,power,0.001,0.01,64,"(16, 8)",relu,adam,0.86,3.0,57.0
259,none,resampling,ADASYN,power,0.001,0.01,64,"(16, 8)",relu,sgd,0.89,10.0,57.0
260,none,resampling,ADASYN,power,0.001,0.01,64,"(16, 8)",relu,lbfgs,0.79,6.0,61.0
261,none,resampling,ADASYN,power,0.001,0.01,64,"(16, 8)",tanh,adam,0.89,12.0,62.0
262,none,resampling,ADASYN,power,0.001,0.01,64,"(16, 8)",tanh,sgd,0.89,16.0,60.0
263,none,resampling,ADASYN,power,0.001,0.01,64,"(16, 8)",tanh,lbfgs,0.89,13.0,60.0
264,none,resampling,ADASYN,power,0.001,0.01,256,"(16, 8)",relu,adam,0.89,3.0,63.0
265,none,resampling,ADASYN,power,0.001,0.01,256,"(16, 8)",relu,sgd,0.88,6.0,59.0
266,none,resampling,ADASYN,power,0.001,0.01,256,"(16, 8)",relu,lbfgs,0.79,6.0,61.0
267,none,resampling,ADASYN,power,0.001,0.01,256,"(16, 8)",tanh,adam,0.86,4.0,58.0
268,none,resampling,ADASYN,power,0.001,0.01,256,"(16, 8)",tanh,sgd,0.89,7.0,54.0
269,none,resampling,ADASYN,power,0.001,0.01,256,"(16, 8)",tanh,lbfgs,0.89,13.0,60.0
270,none,resampling,ADASYN,power,0.01,0.01,16,"(16, 8)",relu,adam,0.89,14.0,69.0
271,none,resampling,ADASYN,power,0.01,0.01,16,"(16, 8)",relu,sgd,0.87,38.0,65.0
272,none,resampling,ADASYN,power,0.01,0.01,16,"(16, 8)",relu,lbfgs,0.79,6.0,61.0
273,none,resampling,ADASYN,power,0.01,0.01,16,"(16, 8)",tanh,adam,0.89,15.0,65.0
274,none,resampling,ADASYN,power,0.01,0.01,16,"(16, 8)",tanh,sgd,0.89,37.0,66.0
275,none,resampling,ADASYN,power,0.01,0.01,16,"(16, 8)",tanh,lbfgs,0.89,13.0,60.0
276,none,resampling,ADASYN,power,0.01,0.01,64,"(16, 8)",relu,adam,0.88,4.0,60.0
277,none,resampling,ADASYN,power,0.01,0.01,64,"(16, 8)",relu,sgd,0.86,13.0,63.0
278,none,resampling,ADASYN,power,0.01,0.01,64,"(16, 8)",relu,lbfgs,0.79,6.0,61.0
279,none,resampling,ADASYN,power,0.01,0.01,64,"(16, 8)",tanh,adam,0.88,6.0,61.0
280,none,resampling,ADASYN,power,0.01,0.01,64,"(16, 8)",tanh,sgd,0.89,17.0,61.0
281,none,resampling,ADASYN,power,0.01,0.01,64,"(16, 8)",tanh,lbfgs,0.89,13.0,60.0
282,none,resampling,ADASYN,power,0.01,0.01,256,"(16, 8)",relu,adam,0.89,3.0,60.0
283,none,resampling,ADASYN,power,0.01,0.01,256,"(16, 8)",relu,sgd,0.89,4.0,61.0
284,none,resampling,ADASYN,power,0.01,0.01,256,"(16, 8)",relu,lbfgs,0.79,6.0,61.0
285,none,resampling,ADASYN,power,0.01,0.01,256,"(16, 8)",tanh,adam,0.89,2.0,58.0
286,none,resampling,ADASYN,power,0.01,0.01,256,"(16, 8)",tanh,sgd,0.89,5.0,57.0
287,none,resampling,ADASYN,power,0.01,0.01,256,"(16, 8)",tanh,lbfgs,0.89,13.0,60.0
288,none,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.86,35.0,67.0
289,none,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,sgd,0.81,65.0,66.0
290,none,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,lbfgs,0.04,144.0,59.0
291,none,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",tanh,adam,0.88,27.0,60.0
292,none,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",tanh,sgd,0.86,82.0,62.0
293,none,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,61.0,54.0
294,none,resampling,ADASYN,power,0.001,0.001,64,"(128, 64, 32)",relu,adam,0.76,11.0,68.0
295,none,resampling,ADASYN,power,0.001,0.001,64,"(128, 64, 32)",relu,sgd,0.8200000000000001,39.0,65.0
296,none,resampling,ADASYN,power,0.001,0.001,64,"(128, 64, 32)",relu,lbfgs,0.04,146.0,59.0
297,none,resampling,ADASYN,power,0.001,0.001,64,"(128, 64, 32)",tanh,adam,0.87,15.0,59.0
298,none,resampling,ADASYN,power,0.001,0.001,64,"(128, 64, 32)",tanh,sgd,0.89,62.0,62.0
299,none,resampling,ADASYN,power,0.001,0.001,64,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,59.0,54.0
300,none,resampling,ADASYN,power,0.001,0.001,256,"(128, 64, 32)",relu,adam,0.8200000000000001,8.0,58.0
301,none,resampling,ADASYN,power,0.001,0.001,256,"(128, 64, 32)",relu,sgd,0.8300000000000001,30.0,63.0
302,none,resampling,ADASYN,power,0.001,0.001,256,"(128, 64, 32)",relu,lbfgs,0.04,143.0,59.0
303,none,resampling,ADASYN,power,0.001,0.001,256,"(128, 64, 32)",tanh,adam,0.87,16.0,62.0
304,none,resampling,ADASYN,power,0.001,0.001,256,"(128, 64, 32)",tanh,sgd,0.89,68.0,60.0
305,none,resampling,ADASYN,power,0.001,0.001,256,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,62.0,54.0
306,none,resampling,ADASYN,power,0.01,0.001,16,"(128, 64, 32)",relu,adam,0.89,27.0,63.0
307,none,resampling,ADASYN,power,0.01,0.001,16,"(128, 64, 32)",relu,sgd,0.85,69.0,63.0
308,none,resampling,ADASYN,power,0.01,0.001,16,"(128, 64, 32)",relu,lbfgs,0.04,146.0,59.0
309,none,resampling,ADASYN,power,0.01,0.001,16,"(128, 64, 32)",tanh,adam,0.89,23.0,51.0
310,none,resampling,ADASYN,power,0.01,0.001,16,"(128, 64, 32)",tanh,sgd,0.86,71.0,62.0
311,none,resampling,ADASYN,power,0.01,0.001,16,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,58.0,54.0
312,none,resampling,ADASYN,power,0.01,0.001,64,"(128, 64, 32)",relu,adam,0.78,10.0,60.0
313,none,resampling,ADASYN,power,0.01,0.001,64,"(128, 64, 32)",relu,sgd,0.89,33.0,65.0
314,none,resampling,ADASYN,power,0.01,0.001,64,"(128, 64, 32)",relu,lbfgs,0.04,145.0,59.0
315,none,resampling,ADASYN,power,0.01,0.001,64,"(128, 64, 32)",tanh,adam,0.89,18.0,55.0
316,none,resampling,ADASYN,power,0.01,0.001,64,"(128, 64, 32)",tanh,sgd,0.86,45.0,58.0
317,none,resampling,ADASYN,power,0.01,0.001,64,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,59.0,54.0
318,none,resampling,ADASYN,power,0.01,0.001,256,"(128, 64, 32)",relu,adam,0.88,7.0,67.0
319,none,resampling,ADASYN,power,0.01,0.001,256,"(128, 64, 32)",relu,sgd,0.87,19.0,63.0
320,none,resampling,ADASYN,power,0.01,0.001,256,"(128, 64, 32)",relu,lbfgs,0.04,146.0,59.0
321,none,resampling,ADASYN,power,0.01,0.001,256,"(128, 64, 32)",tanh,adam,0.89,7.0,59.0
322,none,resampling,ADASYN,power,0.01,0.001,256,"(128, 64, 32)",tanh,sgd,0.8400000000000001,38.0,63.0
323,none,resampling,ADASYN,power,0.01,0.001,256,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,55.0,54.0
324,none,resampling,ADASYN,power,0.001,0.01,16,"(128, 64, 32)",relu,adam,0.89,27.0,67.0
325,none,resampling,ADASYN,power,0.001,0.01,16,"(128, 64, 32)",relu,sgd,0.87,73.0,67.0
326,none,resampling,ADASYN,power,0.001,0.01,16,"(128, 64, 32)",relu,lbfgs,0.05,135.0,57.0
327,none,resampling,ADASYN,power,0.001,0.01,16,"(128, 64, 32)",tanh,adam,0.77,29.0,64.0
328,none,resampling,ADASYN,power,0.001,0.01,16,"(128, 64, 32)",tanh,sgd,0.89,80.0,62.0
329,none,resampling,ADASYN,power,0.001,0.01,16,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,61.0,55.0
330,none,resampling,ADASYN,power,0.001,0.01,64,"(128, 64, 32)",relu,adam,0.88,10.0,65.0
331,none,resampling,ADASYN,power,0.001,0.01,64,"(128, 64, 32)",relu,sgd,0.87,36.0,65.0
332,none,resampling,ADASYN,power,0.001,0.01,64,"(128, 64, 32)",relu,lbfgs,0.05,134.0,57.0
333,none,resampling,ADASYN,power,0.001,0.01,64,"(128, 64, 32)",tanh,adam,0.86,19.0,58.0
334,none,resampling,ADASYN,power,0.001,0.01,64,"(128, 64, 32)",tanh,sgd,0.88,58.0,62.0
335,none,resampling,ADASYN,power,0.001,0.01,64,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,58.0,55.0
336,none,resampling,ADASYN,power,0.001,0.01,256,"(128, 64, 32)",relu,adam,0.76,10.0,63.0
337,none,resampling,ADASYN,power,0.001,0.01,256,"(128, 64, 32)",relu,sgd,0.79,31.0,62.0
338,none,resampling,ADASYN,power,0.001,0.01,256,"(128, 64, 32)",relu,lbfgs,0.05,134.0,57.0
339,none,resampling,ADASYN,power,0.001,0.01,256,"(128, 64, 32)",tanh,adam,0.8400000000000001,9.0,62.0
340,none,resampling,ADASYN,power,0.001,0.01,256,"(128, 64, 32)",tanh,sgd,0.89,74.0,60.0
341,none,resampling,ADASYN,power,0.001,0.01,256,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,57.0,55.0
342,none,resampling,ADASYN,power,0.01,0.01,16,"(128, 64, 32)",relu,adam,0.89,32.0,65.0
343,none,resampling,ADASYN,power,0.01,0.01,16,"(128, 64, 32)",relu,sgd,0.87,79.0,69.0
344,none,resampling,ADASYN,power,0.01,0.01,16,"(128, 64, 32)",relu,lbfgs,0.05,135.0,57.0
345,none,resampling,ADASYN,power,0.01,0.01,16,"(128, 64, 32)",tanh,adam,0.89,15.0,55.0
346,none,resampling,ADASYN,power,0.01,0.01,16,"(128, 64, 32)",tanh,sgd,0.89,70.0,65.0
347,none,resampling,ADASYN,power,0.01,0.01,16,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,56.0,55.0
348,none,resampling,ADASYN,power,0.01,0.01,64,"(128, 64, 32)",relu,adam,0.89,11.0,65.0
349,none,resampling,ADASYN,power,0.01,0.01,64,"(128, 64, 32)",relu,sgd,0.86,29.0,68.0
350,none,resampling,ADASYN,power,0.01,0.01,64,"(128, 64, 32)",relu,lbfgs,0.05,136.0,57.0
351,none,resampling,ADASYN,power,0.01,0.01,64,"(128, 64, 32)",tanh,adam,0.89,14.0,59.0
352,none,resampling,ADASYN,power,0.01,0.01,64,"(128, 64, 32)",tanh,sgd,0.8300000000000001,37.0,61.0
353,none,resampling,ADASYN,power,0.01,0.01,64,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,56.0,55.0
354,none,resampling,ADASYN,power,0.01,0.01,256,"(128, 64, 32)",relu,adam,0.88,7.0,65.0
355,none,resampling,ADASYN,power,0.01,0.01,256,"(128, 64, 32)",relu,sgd,0.86,19.0,62.0
356,none,resampling,ADASYN,power,0.01,0.01,256,"(128, 64, 32)",relu,lbfgs,0.05,135.0,57.0
357,none,resampling,ADASYN,power,0.01,0.01,256,"(128, 64, 32)",tanh,adam,0.89,8.0,62.0
358,none,resampling,ADASYN,power,0.01,0.01,256,"(128, 64, 32)",tanh,sgd,0.81,36.0,61.0
359,none,resampling,ADASYN,power,0.01,0.01,256,"(128, 64, 32)",tanh,lbfgs,0.09999999999999999,57.0,55.0
360,none,resampling,ADASYN,power,0.001,0.001,16,"(256, 128, 64, 32)",relu,adam,0.88,41.0,66.0
361,none,resampling,ADASYN,power,0.001,0.001,16,"(256, 128, 64, 32)",relu,sgd,0.89,173.0,67.0
362,none,resampling,ADASYN,power,0.001,0.001,16,"(256, 128, 64, 32)",relu,lbfgs,0.01,122.0,57.0
363,none,resampling,ADASYN,power,0.001,0.001,16,"(256, 128, 64, 32)",tanh,adam,0.87,55.0,54.0
364,none,resampling,ADASYN,power,0.001,0.001,16,"(256, 128, 64, 32)",tanh,sgd,0.89,206.0,66.0
365,none,resampling,ADASYN,power,0.001,0.001,16,"(256, 128, 64, 32)",tanh,lbfgs,0.12,66.0,59.0
366,none,resampling,ADASYN,power,0.001,0.001,64,"(256, 128, 64, 32)",relu,adam,0.76,17.0,61.0
367,none,resampling,ADASYN,power,0.001,0.001,64,"(256, 128, 64, 32)",relu,sgd,0.89,54.0,63.0
368,none,resampling,ADASYN,power,0.001,0.001,64,"(256, 128, 64, 32)",relu,lbfgs,0.01,119.0,57.0
369,none,resampling,ADASYN,power,0.001,0.001,64,"(256, 128, 64, 32)",tanh,adam,0.89,36.0,60.0
370,none,resampling,ADASYN,power,0.001,0.001,64,"(256, 128, 64, 32)",tanh,sgd,0.85,119.0,66.0
371,none,resampling,ADASYN,power,0.001,0.001,64,"(256, 128, 64, 32)",tanh,lbfgs,0.12,67.0,59.0
372,none,resampling,ADASYN,power,0.001,0.001,256,"(256, 128, 64, 32)",relu,adam,0.8200000000000001,9.0,64.0
373,none,resampling,ADASYN,power,0.001,0.001,256,"(256, 128, 64, 32)",relu,sgd,0.87,38.0,62.0
374,none,resampling,ADASYN,power,0.001,0.001,256,"(256, 128, 64, 32)",relu,lbfgs,0.01,119.0,57.0
375,none,resampling,ADASYN,power,0.001,0.001,256,"(256, 128, 64, 32)",tanh,adam,0.87,27.0,67.0
376,none,resampling,ADASYN,power,0.001,0.001,256,"(256, 128, 64, 32)",tanh,sgd,0.87,161.0,62.0
377,none,resampling,ADASYN,power,0.001,0.001,256,"(256, 128, 64, 32)",tanh,lbfgs,0.12,66.0,59.0
378,none,resampling,ADASYN,power,0.01,0.001,16,"(256, 128, 64, 32)",relu,adam,0.89,40.0,68.0
379,none,resampling,ADASYN,power,0.01,0.001,16,"(256, 128, 64, 32)",relu,sgd,0.81,170.0,62.0
380,none,resampling,ADASYN,power,0.01,0.001,16,"(256, 128, 64, 32)",relu,lbfgs,0.01,115.0,57.0
381,none,resampling,ADASYN,power,0.01,0.001,16,"(256, 128, 64, 32)",tanh,adam,0.89,35.0,42.0
382,none,resampling,ADASYN,power,0.01,0.001,16,"(256, 128, 64, 32)",tanh,sgd,0.88,148.0,56.0
383,none,resampling,ADASYN,power,0.01,0.001,16,"(256, 128, 64, 32)",tanh,lbfgs,0.12,65.0,59.0
384,none,resampling,ADASYN,power,0.01,0.001,64,"(256, 128, 64, 32)",relu,adam,0.89,20.0,64.0
385,none,resampling,ADASYN,power,0.01,0.001,64,"(256, 128, 64, 32)",relu,sgd,0.89,62.0,64.0
386,none,resampling,ADASYN,power,0.01,0.001,64,"(256, 128, 64, 32)",relu,lbfgs,0.01,122.0,57.0
387,none,resampling,ADASYN,power,0.01,0.001,64,"(256, 128, 64, 32)",tanh,adam,0.89,19.0,56.0
388,none,resampling,ADASYN,power,0.01,0.001,64,"(256, 128, 64, 32)",tanh,sgd,0.73,76.0,61.0
389,none,resampling,ADASYN,power,0.01,0.001,64,"(256, 128, 64, 32)",tanh,lbfgs,0.12,66.0,59.0
390,none,resampling,ADASYN,power,0.01,0.001,256,"(256, 128, 64, 32)",relu,adam,0.89,11.0,64.0
391,none,resampling,ADASYN,power,0.01,0.001,256,"(256, 128, 64, 32)",relu,sgd,0.8200000000000001,29.0,66.0
392,none,resampling,ADASYN,power,0.01,0.001,256,"(256, 128, 64, 32)",relu,lbfgs,0.01,120.0,57.0
393,none,resampling,ADASYN,power,0.01,0.001,256,"(256, 128, 64, 32)",tanh,adam,0.89,16.0,57.0
394,none,resampling,ADASYN,power,0.01,0.001,256,"(256, 128, 64, 32)",tanh,sgd,0.86,73.0,66.0
395,none,resampling,ADASYN,power,0.01,0.001,256,"(256, 128, 64, 32)",tanh,lbfgs,0.12,66.0,59.0
396,none,resampling,ADASYN,power,0.001,0.01,16,"(256, 128, 64, 32)",relu,adam,0.88,61.0,64.0
397,none,resampling,ADASYN,power,0.001,0.01,16,"(256, 128, 64, 32)",relu,sgd,0.79,148.0,67.0
398,none,resampling,ADASYN,power,0.001,0.01,16,"(256, 128, 64, 32)",relu,lbfgs,0.02,123.0,57.0
399,none,resampling,ADASYN,power,0.001,0.01,16,"(256, 128, 64, 32)",tanh,adam,0.87,38.0,61.0
400,none,resampling,ADASYN,power,0.001,0.01,16,"(256, 128, 64, 32)",tanh,sgd,0.89,190.0,66.0
401,none,resampling,ADASYN,power,0.001,0.01,16,"(256, 128, 64, 32)",tanh,lbfgs,0.08,69.0,59.0
402,none,resampling,ADASYN,power,0.001,0.01,64,"(256, 128, 64, 32)",relu,adam,0.88,14.0,62.0
403,none,resampling,ADASYN,power,0.001,0.01,64,"(256, 128, 64, 32)",relu,sgd,0.8400000000000001,49.0,62.0
404,none,resampling,ADASYN,power,0.001,0.01,64,"(256, 128, 64, 32)",relu,lbfgs,0.02,117.0,57.0
405,none,resampling,ADASYN,power,0.001,0.01,64,"(256, 128, 64, 32)",tanh,adam,0.89,24.0,65.0
406,none,resampling,ADASYN,power,0.001,0.01,64,"(256, 128, 64, 32)",tanh,sgd,0.89,152.0,66.0
407,none,resampling,ADASYN,power,0.001,0.01,64,"(256, 128, 64, 32)",tanh,lbfgs,0.08,74.0,59.0
408,none,resampling,ADASYN,power,0.001,0.01,256,"(256, 128, 64, 32)",relu,adam,0.89,20.0,62.0
409,none,resampling,ADASYN,power,0.001,0.01,256,"(256, 128, 64, 32)",relu,sgd,0.89,43.0,64.0
410,none,resampling,ADASYN,power,0.001,0.01,256,"(256, 128, 64, 32)",relu,lbfgs,0.02,141.0,57.0
411,none,resampling,ADASYN,power,0.001,0.01,256,"(256, 128, 64, 32)",tanh,adam,0.85,28.0,65.0
412,none,resampling,ADASYN,power,0.001,0.01,256,"(256, 128, 64, 32)",tanh,sgd,0.89,128.0,63.0
413,none,resampling,ADASYN,power,0.001,0.01,256,"(256, 128, 64, 32)",tanh,lbfgs,0.08,72.0,59.0
414,none,resampling,ADASYN,power,0.01,0.01,16,"(256, 128, 64, 32)",relu,adam,0.89,48.0,64.0
415,none,resampling,ADASYN,power,0.01,0.01,16,"(256, 128, 64, 32)",relu,sgd,0.86,144.0,70.0
416,none,resampling,ADASYN,power,0.01,0.01,16,"(256, 128, 64, 32)",relu,lbfgs,0.02,142.0,57.0
417,none,resampling,ADASYN,power,0.01,0.01,16,"(256, 128, 64, 32)",tanh,adam,0.87,44.0,50.0
418,none,resampling,ADASYN,power,0.01,0.01,16,"(256, 128, 64, 32)",tanh,sgd,0.86,183.0,64.0
419,none,resampling,ADASYN,power,0.01,0.01,16,"(256, 128, 64, 32)",tanh,lbfgs,0.08,72.0,59.0
420,none,resampling,ADASYN,power,0.01,0.01,64,"(256, 128, 64, 32)",relu,adam,0.89,21.0,70.0
421,none,resampling,ADASYN,power,0.01,0.01,64,"(256, 128, 64, 32)",relu,sgd,0.8200000000000001,75.0,66.0
422,none,resampling,ADASYN,power,0.01,0.01,64,"(256, 128, 64, 32)",relu,lbfgs,0.02,142.0,57.0
423,none,resampling,ADASYN,power,0.01,0.01,64,"(256, 128, 64, 32)",tanh,adam,0.89,32.0,58.0
424,none,resampling,ADASYN,power,0.01,0.01,64,"(256, 128, 64, 32)",tanh,sgd,0.88,81.0,61.0
425,none,resampling,ADASYN,power,0.01,0.01,64,"(256, 128, 64, 32)",tanh,lbfgs,0.08,72.0,59.0
426,none,resampling,ADASYN,power,0.01,0.01,256,"(256, 128, 64, 32)",relu,adam,0.86,10.0,66.0
427,none,resampling,ADASYN,power,0.01,0.01,256,"(256, 128, 64, 32)",relu,sgd,0.8,36.0,63.0
428,none,resampling,ADASYN,power,0.01,0.01,256,"(256, 128, 64, 32)",relu,lbfgs,0.02,141.0,57.0
429,none,resampling,ADASYN,power,0.01,0.01,256,"(256, 128, 64, 32)",tanh,adam,0.88,16.0,60.0
430,none,resampling,ADASYN,power,0.01,0.01,256,"(256, 128, 64, 32)",tanh,sgd,0.89,77.0,62.0
431,none,resampling,ADASYN,power,0.01,0.01,256,"(256, 128, 64, 32)",tanh,lbfgs,0.08,73.0,59.0
432,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",relu,adam,0.89,12.0,70.0
433,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",relu,sgd,0.89,35.0,67.0
434,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",relu,lbfgs,0.89,7.0,64.0
435,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",tanh,adam,0.88,17.0,61.0
436,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",tanh,sgd,0.89,39.0,63.0
437,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,16,"(16, 8)",tanh,lbfgs,0.89,14.0,56.0
438,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",relu,adam,0.88,4.0,70.0
439,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",relu,sgd,0.88,11.0,65.0
440,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",relu,lbfgs,0.89,7.0,64.0
441,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",tanh,adam,0.88,8.0,64.0
442,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",tanh,sgd,0.89,15.0,65.0
443,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,64,"(16, 8)",tanh,lbfgs,0.89,14.0,56.0
444,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",relu,adam,0.88,2.0,61.0
445,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",relu,sgd,0.89,4.0,52.0
446,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",relu,lbfgs,0.89,7.0,64.0
447,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",tanh,adam,0.89,2.0,59.0
448,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",tanh,sgd,0.8400000000000001,9.0,56.0
449,wear_torque_air_temp,resampling,SMOTETomek,power,0.001,0.001,256,"(16, 8)",tanh,lbfgs,0.89,14.0,56.0
450,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",relu,adam,0.89,18.0,66.0
451,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",relu,sgd,0.88,36.0,70.0
452,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",relu,lbfgs,0.89,7.0,64.0
453,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",tanh,adam,0.85,11.0,64.0
454,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",tanh,sgd,0.89,34.0,59.0
455,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,16,"(16, 8)",tanh,lbfgs,0.89,14.0,56.0
456,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",relu,adam,0.89,7.0,64.0
457,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",relu,sgd,0.88,14.0,66.0
458,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",relu,lbfgs,0.89,6.0,64.0
459,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",tanh,adam,0.89,5.0,62.0
460,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",tanh,sgd,0.89,11.0,61.0
461,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,64,"(16, 8)",tanh,lbfgs,0.89,14.0,56.0
462,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,256,"(16, 8)",relu,adam,0.86,2.0,67.0
463,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,256,"(16, 8)",relu,sgd,0.87,4.0,70.0
464,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,256,"(16, 8)",relu,lbfgs,0.89,7.0,64.0
465,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,256,"(16, 8)",tanh,adam,0.89,2.0,64.0
466,wear_torque_air_temp,resampling,SMOTETomek,power,0.01,0.001,256,"(16, 8)",tanh,sgd,0.87,5.0,64.0
