,excluded_column,imbalanced_approach,imbalanced_input,scaler,best_learning_rate_init,best_alpha,best_batch_size,best_hidden_layer_sizes,best_activation,best_solver,prediction_threshold,duration,f1_score
44,power_w,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,32.0,63.0
45,power_w,resampling,ADASYN,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,31.0,66.0
46,power_w,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.78,21.0,63.0
47,power_w,resampling,SMOTETomek,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,29.0,70.0
48,delta_temp_k,resampling,SMOTE,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,18.0,42.0
49,delta_temp_k,resampling,SMOTE,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,32.0,65.0
50,delta_temp_k,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,54.0,41.0
51,delta_temp_k,resampling,ADASYN,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,31.0,68.0
52,delta_temp_k,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,38.0,44.0
53,delta_temp_k,resampling,SMOTETomek,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,35.0,66.0
54,wear_torque,resampling,SMOTE,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,23.0,67.0
55,wear_torque,resampling,SMOTE,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,20.0,67.0
56,wear_torque,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.75,31.0,62.0
57,wear_torque,resampling,ADASYN,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.86,20.0,64.0
58,wear_torque,resampling,SMOTETomek,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.88,30.0,64.0
59,wear_torque,resampling,SMOTETomek,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,23.0,68.0
60,temp_air_and_delta,resampling,SMOTE,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,44.0,39.0
61,temp_air_and_delta,resampling,SMOTE,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,36.0,46.0
62,temp_air_and_delta,resampling,ADASYN,power,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.89,24.0,45.0
63,temp_air_and_delta,resampling,ADASYN,robust,0.001,0.001,16,"(128, 64, 32)",relu,adam,0.87,39.0,45.0
